Area (sqft),Bedrooms,Bathrooms,Floors,Age (years),Location Quality,Price (USD)
3663.59,1.0,1.0,1.0,1.0,1.0,372564.89
2136.33,3.0,2.0,1.0,17.0,2.0,239685.83
4873.02,2.0,2.0,2.0,12.0,3.0,546593.27
4831.01,,2.0,2.0,28.0,2.0,534650.47
1633.02,2.0,2.0,2.0,23.0,2.0,224312.18
2737.62,4.0,3.0,1.0,37.0,6.0,374091.19
1853.95,1.0,3.0,2.0,11.0,7.0,285258.93
1781.78,5.0,2.0,1.0,28.0,6.0,271189.04
665.99,1.0,2.0,1.0,21.0,6.0,149677.0
3243.04,4.0,2.0,2.0,35.0,9.0,435144.63
2762.06,,3.0,,0.0,8.0,383423.22
731.65,3.0,3.0,1.0,42.0,8.0,171947.12
,2.0,,2.0,39.0,6.0,245349.2
4587.2,5.0,1.0,2.0,33.0,5.0,532872.35
1578.03,3.0,2.0,1.0,33.0,9.0,265278.08
1152.03,2.0,2.0,2.0,47.0,2.0,149404.24
2702.54,3.0,3.0,1.0,32.0,7.0,374962.07
4935.43,1.0,2.0,2.0,3.0,6.0,590632.96
1589.25,4.0,2.0,2.0,37.0,7.0,264407.68
3524.61,2.0,3.0,2.0,29.0,4.0,417928.33
3927.29,5.0,3.0,2.0,45.0,9.0,530109.07
1569.37,1.0,,1.0,,7.0,253239.35
3776.97,2.0,3.0,2.0,25.0,2.0,431389.69
2155.02,1.0,1.0,1.0,14.0,4.0,267470.57
3345.38,5.0,3.0,1.0,6.0,5.0,449595.42
3350.88,2.0,3.0,2.0,6.0,2.0,391875.97
2910.99,5.0,2.0,2.0,49.0,8.0,400685.46
906.3,3.0,2.0,,28.0,1.0,122257.98
4258.86,5.0,2.0,2.0,22.0,3.0,505500.21
1943.51,3.0,1.0,2.0,,1.0,213886.33
1339.33,2.0,3.0,1.0,19.0,5.0,227702.92
683.49,3.0,3.0,2.0,14.0,8.0,168382.34
3159.02,2.0,1.0,1.0,32.0,7.0,411764.83
3549.04,2.0,3.0,1.0,16.0,9.0,483676.31
574.65,4.0,2.0,1.0,19.0,2.0,106269.35
2804.42,2.0,1.0,1.0,12.0,8.0,370539.99
1519.23,3.0,3.0,2.0,43.0,8.0,277644.49
3403.28,4.0,1.0,2.0,23.0,6.0,446722.83
1284.65,4.0,1.0,1.0,46.0,3.0,173129.0
3609.22,2.0,3.0,1.0,36.0,2.0,413526.37
2240.31,5.0,2.0,2.0,,8.0,357625.97
4715.28,5.0,3.0,1.0,7.0,6.0,585157.36
1118.84,4.0,3.0,2.0,22.0,4.0,195027.13
2034.8,2.0,2.0,1.0,13.0,5.0,273981.7
1010.63,5.0,3.0,2.0,3.0,5.0,205243.1
4661.12,2.0,3.0,1.0,20.0,9.0,565254.87
4448.03,2.0,3.0,1.0,45.0,9.0,573210.45
1660.74,4.0,1.0,1.0,9.0,8.0,257206.43
3469.93,4.0,1.0,2.0,21.0,8.0,447408.12
4177.5,1.0,1.0,,29.0,2.0,
2998.4,5.0,3.0,2.0,29.0,3.0,366053.21
2883.43,5.0,,1.0,15.0,8.0,396060.51
1588.34,5.0,1.0,1.0,10.0,5.0,255928.76
918.96,3.0,2.0,1.0,21.0,7.0,207659.6
4537.47,2.0,3.0,1.0,28.0,8.0,577632.16
4551.88,4.0,1.0,1.0,24.0,6.0,548743.18
3348.96,5.0,3.0,1.0,13.0,,455941.53
,1.0,2.0,,13.0,8.0,302299.98
2071.44,5.0,1.0,2.0,1.0,1.0,251321.24
3766.8,2.0,1.0,2.0,12.0,1.0,407392.65
4537.0,2.0,1.0,,2.0,1.0,497590.41
4491.89,4.0,1.0,2.0,29.0,3.0,512249.26
,,2.0,1.0,17.0,6.0,506818.73
3389.14,4.0,1.0,1.0,35.0,6.0,422567.2
878.63,5.0,3.0,2.0,20.0,5.0,170877.32
1227.33,1.0,1.0,1.0,18.0,7.0,197400.54
4543.49,4.0,,1.0,15.0,5.0,548596.31
3228.93,3.0,1.0,1.0,27.0,2.0,357546.8
541.39,4.0,2.0,1.0,3.0,4.0,131492.62
956.62,2.0,2.0,1.0,14.0,1.0,132329.64
3485.76,5.0,3.0,2.0,0.0,7.0,488657.84
522.78,5.0,1.0,2.0,47.0,4.0,129672.52
1223.64,5.0,1.0,1.0,46.0,4.0,194997.0
2969.3,5.0,1.0,1.0,15.0,4.0,370509.75
3613.53,5.0,3.0,2.0,19.0,3.0,431243.64
3433.83,5.0,3.0,2.0,32.0,8.0,471408.94
1509.21,1.0,2.0,2.0,16.0,4.0,234478.35
3704.81,3.0,2.0,1.0,4.0,8.0,486813.32
1567.62,5.0,2.0,2.0,4.0,9.0,285447.82
1964.3,3.0,3.0,2.0,38.0,1.0,236643.95
3859.21,5.0,3.0,1.0,12.0,4.0,486707.34
3423.35,4.0,3.0,1.0,43.0,6.0,432410.05
4321.51,5.0,2.0,2.0,35.0,8.0,548142.98
3459.26,2.0,3.0,1.0,29.0,6.0,422706.36
3057.39,1.0,,2.0,3.0,6.0,387359.6
921.54,4.0,2.0,2.0,22.0,4.0,172484.05
2154.72,4.0,1.0,1.0,20.0,9.0,328506.84
1693.41,2.0,1.0,1.0,,7.0,255587.36
1597.95,5.0,1.0,2.0,5.0,6.0,245265.66
4878.55,1.0,2.0,1.0,,1.0,509684.52
2268.94,4.0,1.0,1.0,46.0,2.0,289015.79
4514.21,1.0,1.0,1.0,30.0,6.0,519081.33
3340.12,4.0,1.0,1.0,18.0,1.0,374041.25
4076.65,5.0,3.0,1.0,37.0,5.0,491244.17
2761.87,4.0,2.0,1.0,11.0,1.0,321504.23
3096.07,4.0,1.0,1.0,13.0,3.0,364300.63
2716.33,3.0,3.0,2.0,49.0,,384835.86
1378.59,5.0,3.0,1.0,11.0,5.0,245186.96
3751.03,2.0,3.0,2.0,14.0,1.0,430887.34
1763.48,2.0,1.0,1.0,18.0,1.0,203550.95
609.42,5.0,,2.0,27.0,8.0,207940.49
3404.63,2.0,2.0,1.0,39.0,,457700.85
1297.0,5.0,3.0,2.0,40.0,7.0,229404.64
4732.06,2.0,3.0,1.0,4.0,3.0,551830.79
4792.68,3.0,3.0,2.0,4.0,6.0,580410.48
4616.89,2.0,3.0,,5.0,3.0,536073.64
2165.71,4.0,2.0,1.0,22.0,4.0,278642.92
569.55,5.0,,2.0,2.0,4.0,133842.84
4677.43,1.0,2.0,2.0,36.0,3.0,523042.55
2426.83,1.0,2.0,1.0,32.0,6.0,320722.7
4849.95,,1.0,2.0,42.0,5.0,563100.9
4836.29,3.0,3.0,2.0,20.0,9.0,587045.44
4338.54,2.0,1.0,1.0,19.0,9.0,532655.5
1825.02,3.0,1.0,2.0,0.0,3.0,230729.97
2232.94,1.0,2.0,,38.0,9.0,309080.09
4330.12,5.0,1.0,2.0,46.0,3.0,484717.8
1926.15,5.0,3.0,,16.0,4.0,
1262.72,3.0,2.0,2.0,28.0,1.0,177248.19
3005.61,3.0,3.0,1.0,7.0,5.0,379809.18
4712.7,2.0,2.0,,25.0,9.0,577386.79
3632.13,4.0,3.0,2.0,27.0,2.0,418950.27
3065.28,4.0,1.0,2.0,33.0,4.0,380488.52
937.29,2.0,1.0,1.0,25.0,2.0,132778.98
3267.53,4.0,1.0,1.0,12.0,8.0,427231.81
4955.24,1.0,3.0,2.0,43.0,9.0,602957.56
1130.38,,2.0,2.0,36.0,3.0,186650.87
2832.48,2.0,2.0,2.0,12.0,9.0,416091.85
4448.18,4.0,2.0,2.0,37.0,6.0,528451.87
3833.46,5.0,1.0,2.0,24.0,6.0,475375.75
3636.57,3.0,3.0,2.0,46.0,7.0,467741.14
3661.18,1.0,,1.0,22.0,5.0,431827.9
2117.71,,3.0,2.0,21.0,6.0,330873.63
1821.16,5.0,,2.0,20.0,1.0,231593.13
4142.13,2.0,1.0,2.0,29.0,3.0,480494.34
4145.51,3.0,3.0,2.0,10.0,9.0,556560.78
4401.83,3.0,2.0,1.0,3.0,5.0,514719.27
4609.58,1.0,2.0,1.0,32.0,5.0,527226.32
2801.04,2.0,2.0,,46.0,8.0,368138.33
2756.82,1.0,2.0,1.0,11.0,2.0,311567.01
4092.33,4.0,1.0,2.0,8.0,,519339.85
3424.84,5.0,2.0,1.0,31.0,9.0,470741.42
3658.85,1.0,2.0,2.0,10.0,7.0,480010.24
4081.07,5.0,1.0,2.0,36.0,5.0,476687.53
4505.02,2.0,2.0,1.0,23.0,6.0,532572.34
2020.98,4.0,3.0,1.0,6.0,4.0,279840.32
2190.12,2.0,,2.0,7.0,7.0,321450.84
922.92,4.0,2.0,1.0,32.0,1.0,133311.05
3102.26,4.0,1.0,1.0,,4.0,
661.74,5.0,1.0,2.0,0.0,3.0,143753.07
2595.19,2.0,1.0,2.0,2.0,4.0,339633.12
2941.9,2.0,2.0,2.0,39.0,1.0,303034.95
1789.44,1.0,2.0,2.0,27.0,2.0,232473.04
3158.75,2.0,3.0,2.0,42.0,9.0,459642.92
637.25,1.0,1.0,1.0,32.0,7.0,144222.19
668.07,3.0,2.0,2.0,45.0,6.0,146700.75
4201.7,,,2.0,0.0,2.0,469448.21
2120.86,3.0,2.0,2.0,37.0,1.0,246608.07
1071.77,2.0,1.0,1.0,26.0,2.0,146281.08
2850.09,2.0,1.0,2.0,37.0,7.0,366334.78
3964.97,1.0,3.0,2.0,34.0,2.0,440898.41
1471.19,4.0,1.0,1.0,9.0,3.0,195759.98
3303.01,1.0,,2.0,11.0,8.0,428533.06
884.06,3.0,3.0,2.0,9.0,7.0,194483.84
732.57,1.0,1.0,2.0,33.0,9.0,174300.12
2891.1,4.0,1.0,1.0,23.0,4.0,339957.62
,2.0,1.0,1.0,27.0,7.0,374587.44
3368.43,1.0,1.0,2.0,21.0,1.0,358498.22
3767.41,3.0,2.0,2.0,44.0,2.0,424788.77
4891.33,3.0,1.0,2.0,,7.0,598118.4
2823.35,2.0,2.0,1.0,12.0,2.0,325921.52
1953.3,1.0,2.0,1.0,35.0,6.0,258157.42
4078.34,4.0,2.0,1.0,35.0,9.0,529154.73
1718.75,2.0,3.0,1.0,42.0,5.0,240387.12
2475.37,1.0,2.0,1.0,22.0,7.0,327790.25
853.05,5.0,1.0,1.0,13.0,1.0,124745.79
614.08,3.0,3.0,2.0,31.0,8.0,172013.43
4831.92,4.0,1.0,1.0,2.0,9.0,592141.57
4261.91,4.0,2.0,2.0,26.0,5.0,506138.99
,4.0,1.0,1.0,18.0,6.0,454144.99
2340.29,3.0,3.0,2.0,21.0,8.0,352234.35
1279.82,1.0,3.0,1.0,0.0,4.0,187055.13
1203.97,2.0,1.0,2.0,4.0,,153992.68
1626.09,1.0,1.0,2.0,48.0,8.0,252241.55
2971.52,2.0,1.0,2.0,32.0,2.0,323880.24
3715.68,4.0,3.0,1.0,18.0,5.0,453000.06
3470.89,1.0,2.0,1.0,35.0,6.0,416378.81
1759.7,4.0,1.0,1.0,5.0,5.0,245251.43
4796.89,5.0,2.0,2.0,14.0,6.0,582896.33
3820.54,4.0,3.0,2.0,35.0,,478977.23
2994.59,4.0,1.0,,32.0,3.0,370101.42
3252.74,2.0,1.0,1.0,,3.0,359055.76
2388.2,5.0,3.0,1.0,26.0,9.0,
1614.79,4.0,1.0,2.0,48.0,3.0,217252.38
2101.88,4.0,2.0,1.0,10.0,3.0,290098.55
3910.31,5.0,3.0,1.0,48.0,2.0,463984.59
564.77,5.0,3.0,1.0,22.0,7.0,
1022.33,1.0,1.0,1.0,32.0,4.0,136744.33
707.01,2.0,3.0,2.0,40.0,1.0,108225.51
683.28,5.0,1.0,1.0,45.0,6.0,134561.55
4349.57,5.0,1.0,1.0,46.0,5.0,517353.59
3666.46,3.0,3.0,2.0,28.0,2.0,
2633.78,,1.0,2.0,30.0,6.0,349388.62
940.25,2.0,2.0,1.0,0.0,1.0,126529.38
2712.27,4.0,2.0,1.0,33.0,3.0,321405.81
2630.62,4.0,1.0,1.0,17.0,4.0,329342.02
1279.41,4.0,2.0,1.0,17.0,3.0,181621.5
,4.0,1.0,2.0,5.0,6.0,336861.89
2293.27,3.0,2.0,2.0,39.0,4.0,300058.01
3271.33,,3.0,2.0,0.0,1.0,395633.27
3357.92,4.0,1.0,1.0,46.0,5.0,411046.7
703.87,1.0,1.0,1.0,41.0,5.0,124204.88
2185.76,4.0,1.0,2.0,29.0,9.0,340217.06
3316.37,5.0,1.0,1.0,,8.0,447388.16
2764.11,4.0,1.0,2.0,31.0,,384479.19
4354.2,3.0,1.0,2.0,9.0,,501355.39
3464.12,2.0,3.0,2.0,42.0,8.0,442529.08
1233.2,2.0,3.0,2.0,4.0,7.0,232099.56
817.56,5.0,2.0,2.0,8.0,1.0,140019.39
3390.89,2.0,1.0,2.0,4.0,7.0,425078.38
619.3,2.0,2.0,2.0,10.0,8.0,181672.37
3135.99,1.0,2.0,1.0,34.0,3.0,380933.1
4731.04,5.0,3.0,2.0,26.0,9.0,627439.15
3089.63,5.0,2.0,2.0,3.0,8.0,430696.52
2246.76,2.0,3.0,1.0,9.0,2.0,272545.97
3394.8,2.0,2.0,2.0,38.0,6.0,429748.31
,2.0,1.0,1.0,32.0,4.0,
2955.28,3.0,2.0,2.0,37.0,3.0,341996.4
4736.59,4.0,3.0,1.0,,6.0,573836.91
2237.46,3.0,3.0,1.0,48.0,9.0,349761.52
4825.36,5.0,3.0,,23.0,2.0,537973.26
4574.08,1.0,2.0,2.0,38.0,5.0,517361.5
1381.06,4.0,2.0,1.0,32.0,6.0,222769.15
812.13,1.0,3.0,2.0,40.0,4.0,141220.44
953.5,5.0,1.0,2.0,42.0,7.0,179257.39
582.0,5.0,1.0,2.0,18.0,,119529.21
924.99,1.0,2.0,,,7.0,179957.65
,1.0,2.0,2.0,10.0,2.0,402376.77
820.35,1.0,3.0,,34.0,,118185.88
1935.39,5.0,2.0,2.0,16.0,5.0,275221.8
4301.94,2.0,2.0,1.0,41.0,2.0,451332.09
604.72,1.0,3.0,2.0,2.0,8.0,172963.32
4165.11,4.0,3.0,2.0,21.0,8.0,534953.5
1768.35,5.0,2.0,1.0,,1.0,226589.91
1031.74,,1.0,2.0,20.0,4.0,175296.21
3635.32,3.0,2.0,1.0,24.0,9.0,460344.59
3330.24,4.0,1.0,1.0,38.0,5.0,403113.35
4448.62,2.0,1.0,2.0,1.0,6.0,538079.5
3807.82,1.0,1.0,2.0,0.0,3.0,443154.73
4115.66,5.0,3.0,1.0,6.0,5.0,491042.79
,1.0,3.0,2.0,19.0,1.0,226635.71
1298.48,5.0,3.0,1.0,42.0,8.0,240352.95
,3.0,2.0,1.0,5.0,6.0,485836.38
4130.76,1.0,3.0,2.0,35.0,2.0,452586.91
4957.27,4.0,3.0,1.0,20.0,4.0,583193.89
2356.78,2.0,2.0,,45.0,4.0,293060.37
2174.08,4.0,2.0,,34.0,9.0,326223.14
3993.86,2.0,1.0,1.0,35.0,9.0,
2033.62,1.0,2.0,1.0,7.0,5.0,279363.84
4688.41,1.0,2.0,2.0,49.0,3.0,509816.96
4362.86,2.0,3.0,2.0,3.0,1.0,471953.89
2430.47,3.0,1.0,2.0,42.0,6.0,309933.16
,5.0,1.0,1.0,15.0,8.0,491798.35
3895.44,4.0,2.0,2.0,2.0,1.0,430963.84
964.06,4.0,3.0,1.0,6.0,1.0,154948.04
4561.49,4.0,3.0,1.0,1.0,7.0,565995.99
2773.64,,3.0,1.0,0.0,7.0,373377.12
4219.06,4.0,3.0,2.0,0.0,2.0,
1940.22,5.0,2.0,1.0,37.0,3.0,264023.03
4529.85,5.0,3.0,2.0,,2.0,530156.68
2251.41,2.0,1.0,1.0,23.0,6.0,295272.01
548.77,1.0,1.0,2.0,4.0,8.0,149437.33
4574.22,5.0,2.0,2.0,20.0,8.0,
910.79,3.0,3.0,1.0,27.0,1.0,127720.75
1936.91,1.0,3.0,2.0,17.0,9.0,
4775.28,1.0,3.0,1.0,23.0,8.0,588332.0
4777.73,5.0,3.0,1.0,31.0,9.0,604833.35
,3.0,2.0,1.0,44.0,9.0,423722.69
3343.27,2.0,3.0,1.0,,6.0,
2518.0,5.0,2.0,1.0,9.0,3.0,327837.54
1819.45,3.0,3.0,1.0,8.0,1.0,227336.46
,1.0,3.0,1.0,48.0,8.0,301367.17
3526.33,3.0,1.0,2.0,32.0,3.0,415426.9
3885.69,1.0,2.0,,32.0,7.0,470832.0
4062.11,5.0,1.0,1.0,6.0,6.0,484674.69
4053.28,5.0,2.0,2.0,3.0,3.0,476109.17
910.43,4.0,3.0,2.0,27.0,6.0,204788.67
2724.89,4.0,3.0,1.0,22.0,3.0,
759.01,4.0,2.0,1.0,31.0,9.0,186056.57
2972.88,5.0,1.0,1.0,43.0,1.0,331750.48
2486.89,2.0,2.0,2.0,15.0,8.0,360567.05
4494.67,5.0,2.0,1.0,45.0,5.0,531212.13
,3.0,,2.0,9.0,4.0,286585.27
1026.8,5.0,1.0,1.0,13.0,1.0,137943.21
1143.46,,2.0,1.0,38.0,9.0,232411.92
3926.8,1.0,1.0,2.0,35.0,9.0,495904.59
3281.98,,1.0,1.0,33.0,5.0,391522.72
955.05,1.0,2.0,1.0,23.0,9.0,201171.9
878.48,5.0,1.0,1.0,17.0,9.0,204508.48
3654.36,,3.0,2.0,15.0,7.0,
827.43,3.0,3.0,1.0,,8.0,189506.12
4198.37,3.0,3.0,1.0,36.0,1.0,464530.14
3678.09,2.0,,,40.0,4.0,442139.18
866.07,2.0,1.0,2.0,24.0,4.0,132166.08
881.77,,3.0,1.0,7.0,9.0,217174.35
4939.88,4.0,,1.0,23.0,3.0,529413.21
2184.22,1.0,3.0,2.0,19.0,1.0,255598.32
2167.89,1.0,2.0,1.0,47.0,5.0,285184.0
4157.6,3.0,2.0,1.0,29.0,7.0,515329.2
,2.0,3.0,2.0,19.0,4.0,557462.04
4937.0,4.0,3.0,1.0,17.0,9.0,627804.55
3890.2,3.0,1.0,1.0,,6.0,467996.63
2193.17,1.0,2.0,2.0,47.0,6.0,279524.86
875.75,5.0,3.0,1.0,35.0,3.0,160706.53
3997.16,2.0,1.0,,5.0,5.0,473504.05
3012.82,5.0,3.0,1.0,2.0,6.0,392306.48
2409.0,3.0,3.0,2.0,17.0,4.0,323538.99
4578.59,1.0,3.0,1.0,46.0,3.0,508536.39
1000.39,4.0,2.0,2.0,39.0,5.0,178592.16
2716.81,5.0,3.0,2.0,17.0,7.0,394678.62
551.09,4.0,1.0,1.0,22.0,6.0,137955.24
2608.97,1.0,3.0,2.0,34.0,2.0,302702.33
753.36,5.0,3.0,1.0,5.0,1.0,120623.1
1034.68,4.0,1.0,1.0,25.0,5.0,182515.25
1028.87,4.0,1.0,1.0,20.0,5.0,165826.21
3421.45,5.0,2.0,2.0,23.0,6.0,435704.01
3857.2,1.0,2.0,1.0,14.0,3.0,439477.91
3125.16,4.0,2.0,,26.0,1.0,352641.15
4829.78,3.0,2.0,,31.0,4.0,565868.79
2186.92,5.0,1.0,2.0,11.0,4.0,300420.57
1785.7,2.0,3.0,2.0,4.0,2.0,242283.37
4408.7,,3.0,1.0,6.0,8.0,562209.39
1506.18,1.0,3.0,1.0,21.0,6.0,233004.92
4834.5,3.0,2.0,1.0,26.0,,534931.64
554.7,4.0,1.0,1.0,14.0,1.0,80531.56
4864.45,2.0,1.0,2.0,38.0,3.0,
694.22,1.0,1.0,2.0,44.0,8.0,
4510.14,3.0,3.0,2.0,34.0,4.0,519991.91
2874.65,3.0,2.0,2.0,25.0,3.0,356404.14
4968.34,1.0,1.0,2.0,22.0,4.0,535715.25
832.08,1.0,2.0,2.0,12.0,4.0,143981.49
2992.34,4.0,1.0,,,,359911.03
4861.86,1.0,2.0,1.0,2.0,4.0,550446.78
2853.94,4.0,1.0,1.0,28.0,9.0,402719.05
3332.29,4.0,2.0,1.0,1.0,4.0,404166.02
,5.0,1.0,1.0,27.0,1.0,393660.02
2545.43,3.0,1.0,1.0,,1.0,284693.37
